title,album,year,lyrics_raw
Sunburn,Showbiz,1999,"[Verse 1]
Come waste your millions here
Secretly, she sneers
Another corporate show
A guilty conscience grows

[Pre-Chorus]
I'll feel a guilty conscience grow
And I'll feel a guilty conscience grow

[Chorus]
She burns like the sun
And I can't look away
And she'll burn our horizons
Make no mistakes

[Verse 2]
Come let the truth be shared
No one ever dared
To break these endless lies
Secretly, she cries

[Chorus]
She burns like the sun
And I can't look away
And she'll burn our horizons
Make no mistakes

[Guitar Solo]

[Chorus]
And I'll hide from the world
Behind a broken frame
And I'll run forever
I can't face the shame
And I'll hide from the world
Behind a broken frame
And I'll run forever
I can't face the shame"
Muscle Museum,Showbiz,1999,"[Verse 1]
She had something to confess to
But you don't have the time, so
Look the other way
You will wait until it's over
To reveal what you'd never shown her
Too little much too late

[Pre-Chorus]
Too long trying to resist it
You've just gone and missed it
It's escaped your world

[Chorus]
Can you see that I am needing
Begging for so much more
Than you could ever give?
And I don't want you to adore me
Don't want you to ignore me
When it pleases you
Yeah, and I'll do it on my own

[Verse 2]
I have played in every toilet
But you still want to spoil it
To prove I've made a big mistake

[Pre-Chorus]
Too long trying to resist it
You've just gone and missed it
It's escaped your world

[Chorus]
Can you see that I am needing
Begging for so much more
Than you could ever give?
And I don't want you to adore me
Don't want you to ignore me
When it pleases you
Yeah, and I'll do it on my own

[Outro]
And I'll do it all by myself
And you'll never make it"
Fillip,Showbiz,1999,"[Verse 1]
It's happening soon, it's happening soon
Its scent has been blowing in my direction
To me it is new, to me it is new
And it's not gonna change for anybody

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you

[Verse 2]
It's got to be here, it's gotta be there
It's gotta be now or I'll lose forever
To me it is strange, this feeling is strange
But it's not gonna change for anybody

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you

[Bridge]
Accuse me
Trust me, I never knew
That you were the one
You were the one

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you
And it's gonna be
Our last memory
And it's led me on
And on to you
You"
Falling Down,Showbiz,1999,"[Verse 1]
I'm falling down
And fifteen thousand people scream
They were all begging for your dream
I'm falling down
Five thousand houses burning down, yeah
No one is gonna save this town

[Chorus]
Too late, I already found what I was looking for
You know it wasn't here, no, it wasn't here

[Verse 2]
I was calling your name
But you would never hear me sing
You wouldn't let me begin
So I'm crawling away
'Cause you broke my heart in two, yeah
No, I will not forget you

[Chorus]
Too late, I already found what I was looking for
You know it wasn't you, no, it wasn't you, no

[Verse 3]
Falling away
You never see me through
No, I could not forget you
Falling down
A thousand houses burning down, yeah
No one is gonna save this town, yeah

[Chorus]
Too late, I already found what I was looking for
You know it wasn't you, no, it wasn't you, no

[Outro]
Falling down
Now the world is upside down, yeah
I'm heading straight for the clouds"
Cave,Showbiz,1999,"[Verse 1]
Leave me alone, it's nothing serious
I'll do it myself, it's got nought to do with you
And there's nothing that you could do
You can see it and you can almost hear it too
You can almost taste it, it's nought to do with you
And there's still nothing that you can do

[Chorus]
So come in my cave
And I'll burn your heart away
Come in my cave
And I'll burn your heart away

[Verse 2]
Please close your ears and try to look away
So you'll never hear a single word I say
And don't ever come my way
Leave me alone, it's nothing serious
I'll do it myself, it's got nought to do with you
And there's still nothing that you could do

[Chorus]
So come in my cave
And I'll burn your heart away
Come in my cave
And arrest me for my mistakes

[Instrumental Outro]"
Showbiz,Showbiz,1999,"[Intro]
Controlling my feelings for too long
Controlling my feelings for too long

[Verse 1]
Controlling my feelings for too long
Controlling my feelings for too long
Forcing our darkest souls to unfold
And forcing our darkest souls to unfold
And pushing us into self-destruction
Pushing us into self-destruction

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Verse 2]
Trying to please you for too long
Trying to please you for too long
And visions of greed you wallow
Rhythms of greed you wallow
Rhythms of greed you wallow
Rhythms of greed you wallow

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Bridge]
Controlling my feelings for too long
Controlling my feelings for too long
And forcing my darkest soul to unfold
And forcing our darkest souls to unfold
And pushing us into self-destruction
And pushing us into self-destruction

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Guitar Solo]

[Outro]
Ooh, ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh
(And they make me)
(Make me dream your dreams)
Ah-ah, ah-ooh, ooh-ah, ooh-ah, ah, yeah
(And they make me)
(Make me scream your screams)"
Unintended,Showbiz,1999,"[Verse 1]
You could be my unintended
Choice to live my life extended
You could be the one I'll always love
You could be the one who listens
To my deepest inquisitions
You could be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before

[Verse 2]
First there was the one who challenged
All my dreams and all my balance
She could never be as good as you
You could be my unintended
Choice to live my life extended
You should be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
Before you"
Uno,Showbiz,1999,"[Verse 1]
This means nothing to me
'Cause you are nothing to me
And it means nothing to me
That you blew this away

[Pre-Chorus]
'Cause you could have been number one
If you only found the time
And you could have ruled the whole world
If you had the chance

[Chorus]
You could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away

[Verse 2]
You're still nothing to me
And this is nothing to me
And you don't know what you've done, but
I'll give you a clue

[Pre-Chorus]
You could have been number one
If you only had the chance
And you could have ruled the whole world
If you had the time

[Chorus]
You could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away
And you could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away"
Sober,Showbiz,1999,"[Verse 1]
Royal Canadian blended
The spicy aroma had mended me
Matured for years and imported
Into my glass you poured it

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me

[Verse 2]
Wild Turkey's been chosen
Its caramel nose can smell me
Arbourler, Jameson, I love you
The single malts come burning

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me

[Bridge]
Royal Canadian blended
The spicy aroma had mended me

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me"
Escape,Showbiz,1999,"[Verse 1]
You would say anything
And you would try anything
To escape your meaningless
And your insignificance

[Chorus]
You're uncontrollable
And we are unlovable
And I don't want you to think that I care
I never would, I never could again

[Verse 2]
Why can't you just love her?
And why be such a monster?
You bully from a distance
Your brain needs some assistance
But I'll still take all the blame
'Cause you and me are both one and the same
And it's driving me mad
And it's driving me mad

[Chorus]
I'll take back all of the things that I said
I didn't realize I was talking to the living dead
And I don't want you to think that I care
I never would, I never could again

[Outro]
You would say anything
And you would try anything
To escape your meaningless
And your insignificance"
