title,album,year,lyrics_raw,lyrics_clean,tokens,tokens_str
Sunburn,Showbiz,1999,"[Verse 1]
Come waste your millions here
Secretly, she sneers
Another corporate show
A guilty conscience grows

[Pre-Chorus]
I'll feel a guilty conscience grow
And I'll feel a guilty conscience grow

[Chorus]
She burns like the sun
And I can't look away
And she'll burn our horizons
Make no mistakes

[Verse 2]
Come let the truth be shared
No one ever dared
To break these endless lies
Secretly, she cries

[Chorus]
She burns like the sun
And I can't look away
And she'll burn our horizons
Make no mistakes

[Guitar Solo]

[Chorus]
And I'll hide from the world
Behind a broken frame
And I'll run forever
I can't face the shame
And I'll hide from the world
Behind a broken frame
And I'll run forever
I can't face the shame","
come waste your millions here
secretly she sneers
another corporate show
a guilty conscience grows


ill feel a guilty conscience grow
and ill feel a guilty conscience grow


she burns like the sun
and i cant look away
and shell burn our horizons
make no mistakes


come let the truth be shared
no one ever dared
to break these endless lies
secretly she cries


she burns like the sun
and i cant look away
and shell burn our horizons
make no mistakes




and ill hide from the world
behind a broken frame
and ill run forever
i cant face the shame
and ill hide from the world
behind a broken frame
and ill run forever
i cant face the shame","['come', 'waste', 'million', 'secretly', 'sneer', 'another', 'corporate', 'show', 'guilty', 'conscience', 'grows', 'ill', 'feel', 'guilty', 'conscience', 'grow', 'ill', 'feel', 'guilty', 'conscience', 'grow', 'burn', 'like', 'sun', 'cant', 'look', 'away', 'shell', 'burn', 'horizon', 'make', 'mistake', 'come', 'let', 'truth', 'shared', 'one', 'ever', 'dared', 'break', 'endless', 'lie', 'secretly', 'cry', 'burn', 'like', 'sun', 'cant', 'look', 'away', 'shell', 'burn', 'horizon', 'make', 'mistake', 'ill', 'hide', 'world', 'behind', 'broken', 'frame', 'ill', 'run', 'forever', 'cant', 'face', 'shame', 'ill', 'hide', 'world', 'behind', 'broken', 'frame', 'ill', 'run', 'forever', 'cant', 'face', 'shame']",come waste million secretly sneer another corporate show guilty conscience grows ill feel guilty conscience grow ill feel guilty conscience grow burn like sun cant look away shell burn horizon make mistake come let truth shared one ever dared break endless lie secretly cry burn like sun cant look away shell burn horizon make mistake ill hide world behind broken frame ill run forever cant face shame ill hide world behind broken frame ill run forever cant face shame
Muscle Museum,Showbiz,1999,"[Verse 1]
She had something to confess to
But you don't have the time, so
Look the other way
You will wait until it's over
To reveal what you'd never shown her
Too little much too late

[Pre-Chorus]
Too long trying to resist it
You've just gone and missed it
It's escaped your world

[Chorus]
Can you see that I am needing
Begging for so much more
Than you could ever give?
And I don't want you to adore me
Don't want you to ignore me
When it pleases you
Yeah, and I'll do it on my own

[Verse 2]
I have played in every toilet
But you still want to spoil it
To prove I've made a big mistake

[Pre-Chorus]
Too long trying to resist it
You've just gone and missed it
It's escaped your world

[Chorus]
Can you see that I am needing
Begging for so much more
Than you could ever give?
And I don't want you to adore me
Don't want you to ignore me
When it pleases you
Yeah, and I'll do it on my own

[Outro]
And I'll do it all by myself
And you'll never make it","
she had something to confess to
but you dont have the time so
look the other way
you will wait until its over
to reveal what youd never shown her
too little much too late


too long trying to resist it
youve just gone and missed it
its escaped your world


can you see that i am needing
begging for so much more
than you could ever give
and i dont want you to adore me
dont want you to ignore me
when it pleases you
yeah and ill do it on my own


i have played in every toilet
but you still want to spoil it
to prove ive made a big mistake


too long trying to resist it
youve just gone and missed it
its escaped your world


can you see that i am needing
begging for so much more
than you could ever give
and i dont want you to adore me
dont want you to ignore me
when it pleases you
yeah and ill do it on my own


and ill do it all by myself
and youll never make it","['something', 'confess', 'dont', 'time', 'look', 'way', 'wait', 'reveal', 'youd', 'never', 'shown', 'little', 'much', 'late', 'long', 'trying', 'resist', 'youve', 'gone', 'missed', 'escaped', 'world', 'see', 'needing', 'begging', 'much', 'could', 'ever', 'give', 'dont', 'want', 'adore', 'dont', 'want', 'ignore', 'pleases', 'ill', 'played', 'every', 'toilet', 'still', 'want', 'spoil', 'prove', 'ive', 'made', 'big', 'mistake', 'long', 'trying', 'resist', 'youve', 'gone', 'missed', 'escaped', 'world', 'see', 'needing', 'begging', 'much', 'could', 'ever', 'give', 'dont', 'want', 'adore', 'dont', 'want', 'ignore', 'pleases', 'ill', 'ill', 'youll', 'never', 'make']",something confess dont time look way wait reveal youd never shown little much late long trying resist youve gone missed escaped world see needing begging much could ever give dont want adore dont want ignore pleases ill played every toilet still want spoil prove ive made big mistake long trying resist youve gone missed escaped world see needing begging much could ever give dont want adore dont want ignore pleases ill ill youll never make
Fillip,Showbiz,1999,"[Verse 1]
It's happening soon, it's happening soon
Its scent has been blowing in my direction
To me it is new, to me it is new
And it's not gonna change for anybody

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you

[Verse 2]
It's got to be here, it's gotta be there
It's gotta be now or I'll lose forever
To me it is strange, this feeling is strange
But it's not gonna change for anybody

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you

[Bridge]
Accuse me
Trust me, I never knew
That you were the one
You were the one

[Chorus]
And it's gonna be
Our last memory
And it's led me on
And on to you
And it's gonna be
Our last memory
And it's led me on
And on to you
You","
its happening soon its happening soon
its scent has been blowing in my direction
to me it is new to me it is new
and its not gonna change for anybody


and its gonna be
our last memory
and its led me on
and on to you


its got to be here its gotta be there
its gotta be now or ill lose forever
to me it is strange this feeling is strange
but its not gonna change for anybody


and its gonna be
our last memory
and its led me on
and on to you


accuse me
trust me i never knew
that you were the one
you were the one


and its gonna be
our last memory
and its led me on
and on to you
and its gonna be
our last memory
and its led me on
and on to you
you","['happening', 'soon', 'happening', 'soon', 'scent', 'blowing', 'direction', 'new', 'new', 'gon', 'change', 'anybody', 'gon', 'last', 'memory', 'led', 'got', 'got', 'ta', 'got', 'ta', 'ill', 'lose', 'forever', 'strange', 'feeling', 'strange', 'gon', 'change', 'anybody', 'gon', 'last', 'memory', 'led', 'accuse', 'trust', 'never', 'knew', 'one', 'one', 'gon', 'last', 'memory', 'led', 'gon', 'last', 'memory', 'led']",happening soon happening soon scent blowing direction new new gon change anybody gon last memory led got got ta got ta ill lose forever strange feeling strange gon change anybody gon last memory led accuse trust never knew one one gon last memory led gon last memory led
Falling Down,Showbiz,1999,"[Verse 1]
I'm falling down
And fifteen thousand people scream
They were all begging for your dream
I'm falling down
Five thousand houses burning down, yeah
No one is gonna save this town

[Chorus]
Too late, I already found what I was looking for
You know it wasn't here, no, it wasn't here

[Verse 2]
I was calling your name
But you would never hear me sing
You wouldn't let me begin
So I'm crawling away
'Cause you broke my heart in two, yeah
No, I will not forget you

[Chorus]
Too late, I already found what I was looking for
You know it wasn't you, no, it wasn't you, no

[Verse 3]
Falling away
You never see me through
No, I could not forget you
Falling down
A thousand houses burning down, yeah
No one is gonna save this town, yeah

[Chorus]
Too late, I already found what I was looking for
You know it wasn't you, no, it wasn't you, no

[Outro]
Falling down
Now the world is upside down, yeah
I'm heading straight for the clouds","
im falling down
and fifteen thousand people scream
they were all begging for your dream
im falling down
five thousand houses burning down yeah
no one is gonna save this town


too late i already found what i was looking for
you know it wasnt here no it wasnt here


i was calling your name
but you would never hear me sing
you wouldnt let me begin
so im crawling away
cause you broke my heart in two yeah
no i will not forget you


too late i already found what i was looking for
you know it wasnt you no it wasnt you no


falling away
you never see me through
no i could not forget you
falling down
a thousand houses burning down yeah
no one is gonna save this town yeah


too late i already found what i was looking for
you know it wasnt you no it wasnt you no


falling down
now the world is upside down yeah
im heading straight for the clouds","['im', 'falling', 'fifteen', 'thousand', 'people', 'scream', 'begging', 'dream', 'im', 'falling', 'five', 'thousand', 'house', 'burning', 'one', 'gon', 'save', 'town', 'late', 'already', 'found', 'looking', 'know', 'wasnt', 'wasnt', 'calling', 'name', 'would', 'never', 'hear', 'sing', 'wouldnt', 'let', 'begin', 'im', 'crawling', 'away', 'cause', 'broke', 'heart', 'two', 'forget', 'late', 'already', 'found', 'looking', 'know', 'wasnt', 'wasnt', 'falling', 'away', 'never', 'see', 'could', 'forget', 'falling', 'thousand', 'house', 'burning', 'one', 'gon', 'save', 'town', 'late', 'already', 'found', 'looking', 'know', 'wasnt', 'wasnt', 'falling', 'world', 'upside', 'im', 'heading', 'straight', 'cloud']",im falling fifteen thousand people scream begging dream im falling five thousand house burning one gon save town late already found looking know wasnt wasnt calling name would never hear sing wouldnt let begin im crawling away cause broke heart two forget late already found looking know wasnt wasnt falling away never see could forget falling thousand house burning one gon save town late already found looking know wasnt wasnt falling world upside im heading straight cloud
Cave,Showbiz,1999,"[Verse 1]
Leave me alone, it's nothing serious
I'll do it myself, it's got nought to do with you
And there's nothing that you could do
You can see it and you can almost hear it too
You can almost taste it, it's nought to do with you
And there's still nothing that you can do

[Chorus]
So come in my cave
And I'll burn your heart away
Come in my cave
And I'll burn your heart away

[Verse 2]
Please close your ears and try to look away
So you'll never hear a single word I say
And don't ever come my way
Leave me alone, it's nothing serious
I'll do it myself, it's got nought to do with you
And there's still nothing that you could do

[Chorus]
So come in my cave
And I'll burn your heart away
Come in my cave
And arrest me for my mistakes

[Instrumental Outro]","
leave me alone its nothing serious
ill do it myself its got nought to do with you
and theres nothing that you could do
you can see it and you can almost hear it too
you can almost taste it its nought to do with you
and theres still nothing that you can do


so come in my cave
and ill burn your heart away
come in my cave
and ill burn your heart away


please close your ears and try to look away
so youll never hear a single word i say
and dont ever come my way
leave me alone its nothing serious
ill do it myself its got nought to do with you
and theres still nothing that you could do


so come in my cave
and ill burn your heart away
come in my cave
and arrest me for my mistakes

","['leave', 'alone', 'nothing', 'serious', 'ill', 'got', 'nought', 'there', 'nothing', 'could', 'see', 'almost', 'hear', 'almost', 'taste', 'nought', 'there', 'still', 'nothing', 'come', 'cave', 'ill', 'burn', 'heart', 'away', 'come', 'cave', 'ill', 'burn', 'heart', 'away', 'please', 'close', 'ear', 'try', 'look', 'away', 'youll', 'never', 'hear', 'single', 'word', 'say', 'dont', 'ever', 'come', 'way', 'leave', 'alone', 'nothing', 'serious', 'ill', 'got', 'nought', 'there', 'still', 'nothing', 'could', 'come', 'cave', 'ill', 'burn', 'heart', 'away', 'come', 'cave', 'arrest', 'mistake']",leave alone nothing serious ill got nought there nothing could see almost hear almost taste nought there still nothing come cave ill burn heart away come cave ill burn heart away please close ear try look away youll never hear single word say dont ever come way leave alone nothing serious ill got nought there still nothing could come cave ill burn heart away come cave arrest mistake
Showbiz,Showbiz,1999,"[Intro]
Controlling my feelings for too long
Controlling my feelings for too long

[Verse 1]
Controlling my feelings for too long
Controlling my feelings for too long
Forcing our darkest souls to unfold
And forcing our darkest souls to unfold
And pushing us into self-destruction
Pushing us into self-destruction

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Verse 2]
Trying to please you for too long
Trying to please you for too long
And visions of greed you wallow
Rhythms of greed you wallow
Rhythms of greed you wallow
Rhythms of greed you wallow

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Bridge]
Controlling my feelings for too long
Controlling my feelings for too long
And forcing my darkest soul to unfold
And forcing our darkest souls to unfold
And pushing us into self-destruction
And pushing us into self-destruction

[Chorus]
And they make me
Make me dream your dreams
And they make me
Make me scream your screams

[Guitar Solo]

[Outro]
Ooh, ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh
(And they make me)
(Make me dream your dreams)
Ah-ah, ah-ooh, ooh-ah, ooh-ah, ah, yeah
(And they make me)
(Make me scream your screams)","
controlling my feelings for too long
controlling my feelings for too long


controlling my feelings for too long
controlling my feelings for too long
forcing our darkest souls to unfold
and forcing our darkest souls to unfold
and pushing us into selfdestruction
pushing us into selfdestruction


and they make me
make me dream your dreams
and they make me
make me scream your screams


trying to please you for too long
trying to please you for too long
and visions of greed you wallow
rhythms of greed you wallow
rhythms of greed you wallow
rhythms of greed you wallow


and they make me
make me dream your dreams
and they make me
make me scream your screams


controlling my feelings for too long
controlling my feelings for too long
and forcing my darkest soul to unfold
and forcing our darkest souls to unfold
and pushing us into selfdestruction
and pushing us into selfdestruction


and they make me
make me dream your dreams
and they make me
make me scream your screams




ooh oohoohooh oohoohooh oohooh
and they make me
make me dream your dreams
ahah ahooh oohah oohah ah yeah
and they make me
make me scream your screams","['controlling', 'feeling', 'long', 'controlling', 'feeling', 'long', 'controlling', 'feeling', 'long', 'controlling', 'feeling', 'long', 'forcing', 'darkest', 'soul', 'unfold', 'forcing', 'darkest', 'soul', 'unfold', 'pushing', 'u', 'selfdestruction', 'pushing', 'u', 'selfdestruction', 'make', 'make', 'dream', 'dream', 'make', 'make', 'scream', 'scream', 'trying', 'please', 'long', 'trying', 'please', 'long', 'vision', 'greed', 'wallow', 'rhythm', 'greed', 'wallow', 'rhythm', 'greed', 'wallow', 'rhythm', 'greed', 'wallow', 'make', 'make', 'dream', 'dream', 'make', 'make', 'scream', 'scream', 'controlling', 'feeling', 'long', 'controlling', 'feeling', 'long', 'forcing', 'darkest', 'soul', 'unfold', 'forcing', 'darkest', 'soul', 'unfold', 'pushing', 'u', 'selfdestruction', 'pushing', 'u', 'selfdestruction', 'make', 'make', 'dream', 'dream', 'make', 'make', 'scream', 'scream', 'oohoohooh', 'oohoohooh', 'oohooh', 'make', 'make', 'dream', 'dream', 'ahah', 'ahooh', 'oohah', 'oohah', 'make', 'make', 'scream', 'scream']",controlling feeling long controlling feeling long controlling feeling long controlling feeling long forcing darkest soul unfold forcing darkest soul unfold pushing u selfdestruction pushing u selfdestruction make make dream dream make make scream scream trying please long trying please long vision greed wallow rhythm greed wallow rhythm greed wallow rhythm greed wallow make make dream dream make make scream scream controlling feeling long controlling feeling long forcing darkest soul unfold forcing darkest soul unfold pushing u selfdestruction pushing u selfdestruction make make dream dream make make scream scream oohoohooh oohoohooh oohooh make make dream dream ahah ahooh oohah oohah make make scream scream
Unintended,Showbiz,1999,"[Verse 1]
You could be my unintended
Choice to live my life extended
You could be the one I'll always love
You could be the one who listens
To my deepest inquisitions
You could be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before

[Verse 2]
First there was the one who challenged
All my dreams and all my balance
She could never be as good as you
You could be my unintended
Choice to live my life extended
You should be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
Before you","
you could be my unintended
choice to live my life extended
you could be the one ill always love
you could be the one who listens
to my deepest inquisitions
you could be the one ill always love


ill be there as soon as i can
but im busy mending broken
pieces of the life i had before


first there was the one who challenged
all my dreams and all my balance
she could never be as good as you
you could be my unintended
choice to live my life extended
you should be the one ill always love


ill be there as soon as i can
but im busy mending broken
pieces of the life i had before
ill be there as soon as i can
but im busy mending broken
pieces of the life i had before
before you","['could', 'unintended', 'choice', 'live', 'life', 'extended', 'could', 'one', 'ill', 'always', 'love', 'could', 'one', 'listens', 'deepest', 'inquisition', 'could', 'one', 'ill', 'always', 'love', 'ill', 'soon', 'im', 'busy', 'mending', 'broken', 'piece', 'life', 'first', 'one', 'challenged', 'dream', 'balance', 'could', 'never', 'good', 'could', 'unintended', 'choice', 'live', 'life', 'extended', 'one', 'ill', 'always', 'love', 'ill', 'soon', 'im', 'busy', 'mending', 'broken', 'piece', 'life', 'ill', 'soon', 'im', 'busy', 'mending', 'broken', 'piece', 'life']",could unintended choice live life extended could one ill always love could one listens deepest inquisition could one ill always love ill soon im busy mending broken piece life first one challenged dream balance could never good could unintended choice live life extended one ill always love ill soon im busy mending broken piece life ill soon im busy mending broken piece life
Uno,Showbiz,1999,"[Verse 1]
This means nothing to me
'Cause you are nothing to me
And it means nothing to me
That you blew this away

[Pre-Chorus]
'Cause you could have been number one
If you only found the time
And you could have ruled the whole world
If you had the chance

[Chorus]
You could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away

[Verse 2]
You're still nothing to me
And this is nothing to me
And you don't know what you've done, but
I'll give you a clue

[Pre-Chorus]
You could have been number one
If you only had the chance
And you could have ruled the whole world
If you had the time

[Chorus]
You could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away
And you could have been number one
And you could have ruled the whole world
And we could have had so much fun, but
You blew it away","
this means nothing to me
cause you are nothing to me
and it means nothing to me
that you blew this away


cause you could have been number one
if you only found the time
and you could have ruled the whole world
if you had the chance


you could have been number one
and you could have ruled the whole world
and we could have had so much fun but
you blew it away


youre still nothing to me
and this is nothing to me
and you dont know what youve done but
ill give you a clue


you could have been number one
if you only had the chance
and you could have ruled the whole world
if you had the time


you could have been number one
and you could have ruled the whole world
and we could have had so much fun but
you blew it away
and you could have been number one
and you could have ruled the whole world
and we could have had so much fun but
you blew it away","['mean', 'nothing', 'cause', 'nothing', 'mean', 'nothing', 'blew', 'away', 'cause', 'could', 'number', 'one', 'found', 'time', 'could', 'ruled', 'whole', 'world', 'chance', 'could', 'number', 'one', 'could', 'ruled', 'whole', 'world', 'could', 'much', 'fun', 'blew', 'away', 'youre', 'still', 'nothing', 'nothing', 'dont', 'know', 'youve', 'done', 'ill', 'give', 'clue', 'could', 'number', 'one', 'chance', 'could', 'ruled', 'whole', 'world', 'time', 'could', 'number', 'one', 'could', 'ruled', 'whole', 'world', 'could', 'much', 'fun', 'blew', 'away', 'could', 'number', 'one', 'could', 'ruled', 'whole', 'world', 'could', 'much', 'fun', 'blew', 'away']",mean nothing cause nothing mean nothing blew away cause could number one found time could ruled whole world chance could number one could ruled whole world could much fun blew away youre still nothing nothing dont know youve done ill give clue could number one chance could ruled whole world time could number one could ruled whole world could much fun blew away could number one could ruled whole world could much fun blew away
Sober,Showbiz,1999,"[Verse 1]
Royal Canadian blended
The spicy aroma had mended me
Matured for years and imported
Into my glass you poured it

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me

[Verse 2]
Wild Turkey's been chosen
Its caramel nose can smell me
Arbourler, Jameson, I love you
The single malts come burning

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me

[Bridge]
Royal Canadian blended
The spicy aroma had mended me

[Pre-Chorus]
And you're the only reason
That I remain unfrozen
Suppose it stands to reason
That you would turn on me

[Chorus]
You're so solid
You're so solid
It burns inside of me
'Cause you're so solid
It burns inside of me","
royal canadian blended
the spicy aroma had mended me
matured for years and imported
into my glass you poured it


and youre the only reason
that i remain unfrozen
suppose it stands to reason
that you would turn on me


youre so solid
youre so solid
it burns inside of me
cause youre so solid
it burns inside of me


wild turkeys been chosen
its caramel nose can smell me
arbourler jameson i love you
the single malts come burning


and youre the only reason
that i remain unfrozen
suppose it stands to reason
that you would turn on me


youre so solid
youre so solid
it burns inside of me
cause youre so solid
it burns inside of me


royal canadian blended
the spicy aroma had mended me


and youre the only reason
that i remain unfrozen
suppose it stands to reason
that you would turn on me


youre so solid
youre so solid
it burns inside of me
cause youre so solid
it burns inside of me","['royal', 'canadian', 'blended', 'spicy', 'aroma', 'mended', 'matured', 'year', 'imported', 'glass', 'poured', 'youre', 'reason', 'remain', 'unfrozen', 'suppose', 'stand', 'reason', 'would', 'turn', 'youre', 'solid', 'youre', 'solid', 'burn', 'inside', 'cause', 'youre', 'solid', 'burn', 'inside', 'wild', 'turkey', 'chosen', 'caramel', 'nose', 'smell', 'arbourler', 'jameson', 'love', 'single', 'malt', 'come', 'burning', 'youre', 'reason', 'remain', 'unfrozen', 'suppose', 'stand', 'reason', 'would', 'turn', 'youre', 'solid', 'youre', 'solid', 'burn', 'inside', 'cause', 'youre', 'solid', 'burn', 'inside', 'royal', 'canadian', 'blended', 'spicy', 'aroma', 'mended', 'youre', 'reason', 'remain', 'unfrozen', 'suppose', 'stand', 'reason', 'would', 'turn', 'youre', 'solid', 'youre', 'solid', 'burn', 'inside', 'cause', 'youre', 'solid', 'burn', 'inside']",royal canadian blended spicy aroma mended matured year imported glass poured youre reason remain unfrozen suppose stand reason would turn youre solid youre solid burn inside cause youre solid burn inside wild turkey chosen caramel nose smell arbourler jameson love single malt come burning youre reason remain unfrozen suppose stand reason would turn youre solid youre solid burn inside cause youre solid burn inside royal canadian blended spicy aroma mended youre reason remain unfrozen suppose stand reason would turn youre solid youre solid burn inside cause youre solid burn inside
Escape,Showbiz,1999,"[Verse 1]
You would say anything
And you would try anything
To escape your meaningless
And your insignificance

[Chorus]
You're uncontrollable
And we are unlovable
And I don't want you to think that I care
I never would, I never could again

[Verse 2]
Why can't you just love her?
And why be such a monster?
You bully from a distance
Your brain needs some assistance
But I'll still take all the blame
'Cause you and me are both one and the same
And it's driving me mad
And it's driving me mad

[Chorus]
I'll take back all of the things that I said
I didn't realize I was talking to the living dead
And I don't want you to think that I care
I never would, I never could again

[Outro]
You would say anything
And you would try anything
To escape your meaningless
And your insignificance","
you would say anything
and you would try anything
to escape your meaningless
and your insignificance


youre uncontrollable
and we are unlovable
and i dont want you to think that i care
i never would i never could again


why cant you just love her
and why be such a monster
you bully from a distance
your brain needs some assistance
but ill still take all the blame
cause you and me are both one and the same
and its driving me mad
and its driving me mad


ill take back all of the things that i said
i didnt realize i was talking to the living dead
and i dont want you to think that i care
i never would i never could again


you would say anything
and you would try anything
to escape your meaningless
and your insignificance","['would', 'say', 'anything', 'would', 'try', 'anything', 'escape', 'meaningless', 'insignificance', 'youre', 'uncontrollable', 'unlovable', 'dont', 'want', 'think', 'care', 'never', 'would', 'never', 'could', 'cant', 'love', 'monster', 'bully', 'distance', 'brain', 'need', 'assistance', 'ill', 'still', 'take', 'blame', 'cause', 'one', 'driving', 'mad', 'driving', 'mad', 'ill', 'take', 'back', 'thing', 'said', 'didnt', 'realize', 'talking', 'living', 'dead', 'dont', 'want', 'think', 'care', 'never', 'would', 'never', 'could', 'would', 'say', 'anything', 'would', 'try', 'anything', 'escape', 'meaningless', 'insignificance']",would say anything would try anything escape meaningless insignificance youre uncontrollable unlovable dont want think care never would never could cant love monster bully distance brain need assistance ill still take blame cause one driving mad driving mad ill take back thing said didnt realize talking living dead dont want think care never would never could would say anything would try anything escape meaningless insignificance
